homelat,homelon,homecontinent,n
21,-89.6,South America,45
21,85.1,Asia,7
21,105.8,Asia,3
21.1,-101.7,South America,105
21.1,-101.6,South America,2
21.1,-86.9,South America,4
21.1,-86.8,NA,2
21.1,72.9,Asia,1
21.1,79.1,Asia,7
21.1,86.6,Asia,3
21.2,-105.2,South America,2
21.2,-86.9,South America,103
21.2,-86.8,South America,7
21.2,72.8,Asia,4
21.3,-158.1,North America,3
21.3,-158.1,NA,1
21.3,-158,NA,4
21.3,-157.9,North America,789
21.3,-157.9,NA,4
21.3,-157.8,North America,76
21.3,-157.8,NA,23
21.3,-157.7,North America,14
21.3,-89.7,South America,1
21.3,39.2,Asia,10
21.3,81.6,Asia,4
21.4,-158.2,North America,8
21.4,-158,North America,213
21.4,-157.8,North America,6
21.4,-157.7,North America,32
21.4,39.9,Asia,4
21.4,92,NA,3
21.5,-158,North America,262
21.5,-157.9,North America,1
21.5,-104.9,South America,5
21.5,-98.4,South America,4
21.5,-78.7,NA,46
21.5,-77.8,South America,6
21.5,39.2,Asia,2
21.5,56,Asia,5
21.5,70.5,Asia,6
21.5,84,Asia,1
21.6,-158.1,North America,66
21.6,-157.9,NA,1
21.6,39.1,Asia,1
21.6,39.2,Asia,3
21.7,-158.1,NA,18
21.7,-158,North America,1
21.7,-158,NA,12
21.7,-71.8,NA,1
21.8,-104.8,South America,2
21.8,-79.8,South America,1
21.8,-72.3,South America,1
21.8,-72.2,South America,1
21.9,-159.6,North America,4
21.9,-159.5,North America,2
21.9,-102.3,South America,2
21.9,96,Asia,2
22,-159.7,NA,6
22,-159.4,North America,2769
22.1,-159.5,North America,37
22.1,-159.3,North America,3
22.1,85.9,Asia,2
22.2,-159.5,North America,11
22.2,-159.5,NA,5
22.2,-159.4,North America,4
22.2,-101,South America,12
22.2,-97.9,South America,1
22.2,-97.8,South America,2
22.2,114.2,Asia,3
22.3,-97.9,South America,1
22.3,50.7,Asia,2
22.3,70.8,Asia,2
22.3,71.2,Asia,4
22.3,73.2,Asia,1
22.3,84.9,Asia,1
22.3,91.8,Asia,3
22.3,113.9,NA,1
22.3,114.1,NA,6
22.3,114.2,Asia,17
22.3,114.2,NA,3
22.3,114.3,Asia,1
22.4,114,Asia,20
22.4,114.1,Asia,217
22.5,72.9,Asia,1
22.5,88.3,Asia,2
22.5,88.4,Asia,3
22.5,114,Asia,29
22.5,114.1,Asia,10
22.6,-103,South America,1
22.6,88.3,Asia,1
22.6,88.4,Asia,36
22.6,88.5,Asia,2
22.7,-102.5,South America,2
22.7,-81.5,South America,1
22.7,72.9,Asia,2
22.7,75.9,Asia,3
22.8,-102.6,South America,2
22.8,73.1,Asia,1
22.8,86.2,Asia,1
22.8,113.3,Asia,1
22.8,113.5,Asia,2
22.8,121.1,Asia,2
22.9,-109.9,South America,72
22.9,-109.9,NA,1
22.9,57.5,Asia,2
23,-109.7,South America,2
23,-82,South America,1
23,72.6,Asia,62
23,87.9,Asia,3
23.1,-109.7,South America,134
23.1,-82.4,South America,4
23.1,72.5,Asia,4
23.1,113.3,Asia,4
23.1,113.8,Asia,2
23.2,-106.4,South America,6
23.2,-102.8,South America,1
23.2,-75.1,South America,1
23.2,69.7,Asia,1
23.2,72.6,Asia,4
23.2,75.8,Asia,2
23.2,77.4,Asia,2
23.3,-106.4,South America,5
23.3,77.4,Asia,1
23.3,85.2,Asia,1
23.3,85.3,Asia,5
23.4,-110.2,South America,7
23.4,53.8,Asia,12
23.4,113.2,Asia,12
23.4,113.8,Asia,1
23.5,-75.8,South America,1
23.5,120.4,Asia,2
23.6,-102.6,South America,678
23.6,58.4,Asia,6
23.7,-109.7,South America,35
23.7,-15.9,Africa,33
23.7,85.4,Asia,27
23.7,90.4,Asia,10
23.7,121,Asia,9
23.8,86.4,Asia,1
23.8,90.4,Asia,32
23.9,45.1,Asia,37
23.9,87.7,Asia,2
23.9,121.1,Asia,4
24,-104.7,South America,16
24,69.7,Asia,2
24.1,-110.3,South America,15
24.1,55.8,Asia,4
24.1,88.3,Asia,1
24.1,120.7,Asia,2
24.2,-12.9,Africa,3
24.2,55.8,Asia,1
24.2,72.4,Asia,2
24.3,-98.8,South America,1
24.3,124.2,NA,1
24.4,124.1,Asia,1
24.4,124.2,Asia,2
24.5,39.6,Asia,2
24.5,54.4,Asia,10
24.5,118.1,Asia,2
24.6,-104.7,South America,9
24.6,-81.8,North America,5
24.6,69.4,Asia,16
24.6,73.7,Asia,1
24.7,46.7,Asia,17
24.8,-107.4,South America,6
24.8,85,Asia,1
24.8,113.3,Asia,1
24.8,121,Asia,12
24.8,125.3,Asia,5
24.9,67,Asia,31
24.9,67.1,Asia,1
24.9,67.2,Asia,2
24.9,91.9,Asia,1
24.9,118.6,Asia,1
24.9,121,Asia,1
25,-80.5,NA,5
25,-77.4,South America,5
25,-71,NA,1
25,55.1,Asia,1
25,55.4,Asia,3
25,121.5,Asia,5
25,121.6,Asia,33
25.1,-80.4,North America,3
25.1,55.4,Asia,1
25.1,121.2,Asia,1
25.1,121.5,Asia,1
25.2,-107.5,South America,2
25.2,55.2,NA,75
25.2,55.3,Asia,134
25.3,-90.1,NA,1
25.3,51.5,Asia,21
25.3,55.3,Asia,1
25.3,55.3,NA,1
25.3,55.4,Asia,9
25.3,56.3,Asia,1
25.3,83,Asia,26
25.3,121.5,Asia,2
25.4,-101,South America,1
25.4,-80.5,North America,8
25.4,49.6,Asia,1
25.4,51.2,Asia,4
25.4,51.6,NA,5
25.4,55.5,Asia,2
25.4,56.2,Asia,1
25.4,78.6,Asia,1
25.4,81.8,Asia,2
25.5,-108.2,South America,1
25.5,-103.5,South America,2
25.5,-103.4,South America,3
25.5,-80.5,North America,6
25.5,91.4,Asia,1
25.6,-100,South America,4
25.6,84.8,Asia,1
25.6,85.1,Asia,1
25.7,-100.5,South America,2
25.7,-100.4,South America,3
25.7,-100.3,South America,53
25.7,-100.2,South America,4
25.7,-80.4,North America,6
25.7,-80.3,North America,14
25.7,-80.2,North America,10
25.7,-80.2,NA,2
25.8,-109,South America,2
25.8,-100.3,South America,9
25.8,-80.4,North America,21
25.8,-80.3,North America,251
25.8,-80.2,North America,6
25.8,-80.2,NA,412
25.8,-80.1,NA,129
25.8,82.4,Asia,4
25.8,87.3,Asia,4
25.9,-97.5,North America,5
25.9,-97.5,South America,6
25.9,-81.7,NA,1
25.9,-80.3,North America,5
25.9,-80.2,North America,3
25.9,-80.1,North America,5
25.9,56,Asia,2
25.9,68.5,Asia,2
25.9,82,Asia,2
25.9,93.8,Asia,2
25.9,115,Asia,1
26,-111.7,South America,29
26,-80.4,North America,2
26,-80.3,North America,11
26,-80.2,North America,3
26,-80.1,North America,44
26,-80.1,NA,9
26.1,-97.7,North America,1
26.1,-97.2,NA,10
26.1,-81.8,North America,27
26.1,-80.6,North America,1
26.1,-80.4,North America,4
26.1,-80.3,North America,7
26.1,-80.2,North America,15
26.1,-80.1,North America,125
26.1,-80.1,NA,1
26.1,50.6,Asia,13
26.1,85.9,Asia,1
26.1,91.7,Asia,3
26.2,-98.3,North America,2
26.2,-98.2,North America,3
26.2,-98,North America,1
26.2,-97.7,North America,1
26.2,-81.8,North America,8
26.2,-80.4,North America,13
26.2,-80.3,North America,2
26.2,-80.2,North America,2
26.2,-80.1,North America,6
26.2,-80.1,NA,16
26.2,50.2,NA,1
26.2,50.6,NA,1
26.2,68.4,Asia,1
26.2,75.8,Asia,1
26.2,78.2,Asia,1
26.2,91.8,Asia,1
26.2,127.7,Asia,70
26.3,-98.2,North America,2
26.3,-98,North America,1
26.3,-80.3,North America,3
26.3,-80.2,North America,6
26.3,-80.1,North America,16
26.3,-77,NA,1
26.3,17.2,Africa,1
26.3,50.1,Asia,1
26.3,82.1,Asia,1
26.3,89.4,Asia,1
26.3,127.8,Asia,44
26.4,-82,NA,2
26.4,-81.8,North America,2
26.4,-80.1,North America,41
26.4,50,Asia,6
26.4,127.8,Asia,1
26.5,-98.2,North America,1
26.5,-82.2,North America,1
26.5,-82,NA,2
26.5,-81.8,North America,6
26.5,-80.1,North America,40
26.5,-78.6,South America,1
26.5,84.4,Asia,2
26.5,88.7,Asia,6
26.5,117.9,Asia,4
26.5,127.9,NA,3
26.6,-82,North America,1
26.6,-81.9,North America,5
26.6,-81.9,NA,5
26.6,-81.6,North America,2
26.6,-80.1,North America,20
26.6,128,Asia,2
26.7,-81.9,North America,2
26.7,-80.3,North America,6
26.7,-80.2,North America,23
26.7,-80.1,North America,2208
26.7,-80,NA,11
26.7,85.9,Asia,1
26.7,88.4,Asia,1
26.8,-80.1,North America,11
26.8,-80,NA,5
26.8,30.8,Africa,11
26.8,34,NA,8
26.8,79,Asia,2
26.8,80.9,Asia,2
26.9,-80.2,North America,2
26.9,-80.1,North America,21
26.9,-80.1,NA,3
26.9,75.8,Asia,21
26.9,80.9,Asia,1
26.9,81,Asia,3
27,-82.4,North America,14
27,-82.1,North America,4
27,-80.6,North America,2
27,-80.1,North America,8
27,74.2,Asia,1
27,128.4,NA,5
27.1,-101.7,South America,3
27.1,-82.5,North America,3
27.1,-80.1,North America,1
27.1,-13.2,Africa,10
27.1,55.1,Asia,15
27.1,88.5,Asia,2
27.2,-81.9,North America,1
27.2,-80.3,North America,24
27.2,-80.2,North America,1
27.2,56.3,NA,1
27.2,78,Asia,2
27.2,86.7,Asia,2
27.3,-82.5,North America,30
27.3,-82.4,North America,1
27.3,-80.4,North America,6
27.3,-80.3,North America,1
27.3,-80.2,NA,2
27.3,33.8,NA,11
27.3,83.1,Asia,1
27.4,-99.5,South America,1
27.4,-82.6,North America,7
27.4,-82.6,NA,1
27.4,-82.5,North America,1
27.4,-82.4,North America,1
27.4,-80.3,NA,8
27.5,-99.5,North America,4
27.5,-99.5,South America,2
27.5,-97.3,North America,7
27.5,-82.7,NA,1
27.5,-82.6,North America,2
27.5,84.5,Asia,1
27.6,-80.8,North America,1
27.6,-80.4,North America,82
27.6,-80.4,NA,140
27.7,-99.8,South America,2
27.7,-98.1,North America,1
27.7,-97.4,North America,1
27.7,-82.7,North America,30
27.7,-81.5,North America,3661
27.7,-80.5,North America,1
27.7,85.3,Asia,5
27.8,-97.4,NA,25
27.8,-97.1,NA,5
27.8,-82.8,North America,20
27.8,-82.6,North America,38
27.8,-82.5,NA,300
27.8,-82.4,North America,1
27.8,-15.7,NA,2
27.8,-15.6,Europe,5
27.8,-15.4,NA,17
27.8,114.4,Asia,1
27.9,-110.9,South America,2
27.9,-101.2,South America,279
27.9,-97.2,North America,5
27.9,-97.1,North America,3
27.9,-82.8,NA,4
27.9,-82.7,North America,13
27.9,-82.5,North America,1
27.9,-82.3,North America,9
27.9,-81.6,North America,13
27.9,-81.2,North America,1
27.9,-15.6,Europe,1
27.9,-15.5,Europe,101
27.9,-15.4,Europe,7
27.9,-12.9,NA,1
28,-113.5,South America,1
28,-98,North America,1
28,-97.1,North America,1
28,-82.8,North America,17
28,-82.8,NA,1
28,-82.7,North America,3
28,-82.6,North America,6
28,-82.5,North America,102
28,-82.4,North America,10
28,-82.2,North America,9
28,-82.1,North America,1
28,-81.9,North America,11
28,-80.6,North America,5
28,-80.5,North America,2
28,-16.7,NA,2
28,-16.6,Europe,3
28,-16.5,Europe,185
28,-15.8,Europe,2
28,-15.4,Europe,9
28,1.7,Africa,5
28,73.3,Asia,1
28.1,-82.8,North America,9
28.1,-82.7,North America,9
28.1,-82.5,North America,7
28.1,-81.9,North America,4
28.1,-80.7,North America,3
28.1,-80.6,North America,156
28.1,-17.3,NA,1
28.1,-17.1,Europe,1
28.1,-16.8,NA,1
28.1,-16.7,Europe,11
28.1,-16.7,NA,9
28.1,-16.6,Europe,5
28.1,-15.5,Europe,3
28.1,-15.4,Europe,370
28.1,-14.4,NA,14
28.2,-82.7,North America,5
28.2,-82.5,North America,4
28.2,-82.4,North America,1
28.2,-82.3,North America,2
28.2,-81.8,North America,1
28.2,-81.6,North America,1
28.2,-80.8,North America,2
28.2,-80.6,North America,27
28.2,-16.8,Europe,36
28.2,-16.8,NA,2
28.2,-16.6,Europe,1
28.2,-14.2,Europe,2
28.2,112.9,Asia,3
28.3,-111.4,NA,2
28.3,-82.7,North America,1
28.3,-81.5,North America,10
28.3,-81.4,North America,6
28.3,-80.7,North America,4
28.3,-80.6,North America,29
28.3,-16.6,Europe,551
28.3,-16.4,Europe,1
28.3,129.4,Asia,5
28.4,-106.9,South America,1
28.4,-82.6,North America,6
28.4,-81.6,North America,8
28.4,-81.5,North America,4
28.4,-81.4,North America,1
28.4,-80.8,NA,1
28.4,-80.7,NA,2
28.4,-80.6,North America,5
28.4,-16.8,Europe,4
28.4,-16.8,NA,4
28.4,-16.7,Europe,9
28.4,-16.6,Europe,1
28.4,-16.5,Europe,2
28.4,-16.5,NA,13
28.4,-16.3,Europe,2
28.4,-14.1,Europe,93
28.4,76.8,Asia,1
28.4,77.3,Asia,2
28.4,79.4,Asia,4
28.4,84.1,Asia,5
28.4,129.5,Asia,2
28.5,-82.6,North America,2
28.5,-82.5,North America,11
28.5,-81.8,North America,1
28.5,-81.5,North America,152
28.5,-81.4,North America,188
28.5,-81.1,North America,2
28.5,-80.8,North America,1
28.5,-80.7,North America,6
28.5,-16.4,Europe,1
28.5,-16.4,NA,6
28.5,-16.3,Europe,129
28.5,-13.9,Europe,3
28.5,34.5,NA,11
28.5,77,Asia,11
28.5,77.1,Asia,4
28.5,77.2,Asia,1
28.5,77.4,Asia,2
28.6,-106.1,South America,5
28.6,-81.4,North America,14
28.6,-81.3,North America,17
28.6,-81.2,North America,12
28.6,-80.8,NA,7
28.6,-17.9,NA,6
28.6,-16.3,NA,2
28.6,77,Asia,1
28.6,77.1,Asia,2
28.6,77.2,Asia,109
28.6,77.3,Asia,13
28.6,83.9,Asia,1
28.7,-106.1,South America,38
28.7,-96,North America,9
28.7,-81.9,North America,5
28.7,-81.5,North America,1
28.7,-81.4,North America,2
28.7,-81.3,North America,1
28.7,-81.2,North America,4
28.7,-17.9,Europe,2
28.7,-17.8,Europe,1
28.7,-13.9,Europe,79
28.7,77.1,Asia,44
28.7,77.2,Asia,1
28.8,-106.1,South America,1
28.8,-101.8,South America,1
28.8,-82.3,North America,2
28.8,-81.8,North America,1
28.8,-81.6,North America,1
28.8,-81.3,North America,9
28.8,76,Asia,1
28.8,78.8,Asia,9
28.8,79.5,Asia,1
28.9,-82.5,North America,1
28.9,-82,North America,4
28.9,-81.7,North America,2
28.9,-81.3,North America,4
28.9,-13.8,Europe,1
28.9,76.6,Asia,2
29,-95.4,North America,2
29,-81.5,North America,1
29,-81.3,North America,10
29,-81,North America,9
29,-80.9,North America,15
29,-13.6,Europe,158
29,77.7,Asia,3
29.1,-111,South America,35
29.1,-81,North America,3
29.1,-13.6,Europe,57
29.2,-99.7,North America,2
29.2,-98.6,North America,1
29.2,-90,NA,1
29.2,-82.1,North America,17
29.2,-81.1,North America,2
29.2,-81,North America,217
29.3,-110.3,South America,8
29.3,-98.6,North America,1
29.3,-94.9,NA,1
29.3,-94.8,NA,124
29.3,-89.4,North America,5
29.3,-81.1,North America,6
29.3,42.6,Asia,7
29.3,47.5,Asia,50
29.3,47.9,Asia,2
29.3,48.1,Asia,3
29.3,79.5,Asia,1
29.4,-98.5,North America,67
29.4,-98.4,North America,1
29.4,-95.4,North America,1
29.4,-95.2,North America,1
29.4,-95.1,North America,1
29.4,-94.9,North America,2
29.4,-94.9,NA,3
29.4,-81.6,North America,1
29.4,48,Asia,1
29.4,75.7,Asia,1
29.5,-98.7,North America,6
29.5,-98.6,North America,18
29.5,-98.5,North America,2
29.5,-98.4,North America,1276
29.5,-95.2,North America,13
29.5,-95.1,North America,10
29.5,-81.1,North America,14
29.5,75,Asia,1
29.6,-99.5,North America,2
29.6,-98.7,North America,2
29.6,-98.6,North America,1
29.6,-98.5,North America,9
29.6,-98.3,North America,4
29.6,-95.6,North America,32
29.6,-95.5,North America,9
29.6,-95.3,North America,23
29.6,-95.1,North America,12
29.6,-95,North America,4
29.6,-94.4,North America,1
29.6,-82,North America,10
29.6,-81.9,North America,1
29.6,-81.6,North America,1
29.6,-81.2,North America,14
29.6,0,Africa,1192
29.6,43.5,Asia,2
29.6,53.3,Asia,1
29.6,70.6,Asia,1
29.6,106.5,Asia,2
29.7,-97.5,North America,5
29.7,-95.9,North America,3
29.7,-95.6,North America,10
29.7,-95.5,North America,9
29.7,-95.4,North America,20
29.7,-95.3,North America,1
29.7,-95.2,North America,1
29.7,-94.8,North America,1
29.7,-90.5,North America,1
29.7,-82.3,North America,7
29.7,-9.7,Africa,2
29.7,77,Asia,1
29.8,-95.8,North America,19
29.8,-95.6,North America,2
29.8,-95.5,North America,4
29.8,-95.4,North America,274
29.8,-95.3,North America,3
29.8,-95.2,North America,4
29.8,-95.1,North America,2
29.8,-82.4,North America,2
29.8,-82,North America,1
29.8,-81.3,North America,48
29.8,121.6,Asia,2
29.9,-98,North America,1
29.9,-97.9,North America,5
29.9,-95.4,North America,3
29.9,-95.1,North America,23
29.9,-93.9,North America,1
29.9,-91.5,North America,2
29.9,-90.1,North America,5
29.9,-89.9,North America,3
29.9,-81.3,North America,215
29.9,78.2,Asia,1
29.9,121.5,Asia,1
30,-98.1,North America,2
30,-97.9,North America,6
30,-97.5,North America,1
30,-95.7,North America,50
30,-94.9,North America,2
30,-94,North America,1
30,-92.1,North America,1
30,-90.3,North America,1
30,-90.1,North America,49
30,-90,North America,1
30,-82,North America,1
30,-81.4,North America,10
30,30.9,Africa,1
30,31.1,Africa,2
30,31.2,Africa,25
30,106.3,Asia,1
30.1,-98.4,North America,2
30.1,-97.3,North America,4
30.1,-95.6,North America,2
30.1,-95.4,North America,2
30.1,-94.2,North America,1
30.1,-94.1,North America,1
30.1,-94,North America,1
30.1,-90.5,North America,1
30.1,-89.9,North America,2
30.1,31.2,Africa,1
30.1,31.3,Africa,10
30.2,-97.8,North America,30
30.2,-97.7,North America,5
30.2,-95.5,North America,10
30.2,-95.1,North America,2
30.2,-93.4,North America,3
30.2,-92,North America,4
30.2,-90.9,North America,1
30.2,-87.7,NA,6
30.2,-85.9,NA,1
30.2,-85.8,NA,9
30.2,-85.7,NA,75
30.2,-82.6,North America,1
30.2,-81.7,North America,10
30.2,-81.6,North America,1
30.2,-81.5,North America,1
30.2,-81.4,North America,47
30.2,71.5,Asia,2
30.2,120.1,Asia,32
30.3,-98.9,North America,2
30.3,-97.9,North America,1
30.3,-97.8,North America,3
30.3,-97.7,North America,287
30.3,-97.4,North America,1
30.3,-95.5,North America,2
30.3,-92.9,North America,1
30.3,-92.8,North America,3
30.3,-92,North America,1
30.3,-91,North America,2
30.3,-89.8,North America,1
30.3,-89.3,NA,3
30.3,-87.6,NA,3
30.3,-86.1,North America,1
30.3,-82.1,North America,1
30.3,-82,North America,11
30.3,-81.7,North America,72
30.3,-81.6,North America,6
30.3,-81.5,North America,2
30.3,-81.4,North America,91
30.3,76.4,Asia,1
30.3,120.2,Asia,2
30.4,-97.8,North America,4
30.4,-97.7,North America,4
30.4,-92.1,North America,4
30.4,-91.1,North America,3
30.4,-90.1,North America,1
30.4,-89.1,North America,1
30.4,-87.4,North America,1
30.4,-87.2,North America,2
30.4,-87.2,NA,121
30.4,-86.9,North America,2
30.4,-86.6,NA,13
30.4,-86.5,NA,8
30.4,-86.4,NA,2
30.4,-86.2,North America,4
30.4,-85.8,North America,1
30.4,-84.3,North America,13
30.4,-84.2,North America,7
30.4,-84.1,North America,1
30.4,-81.7,North America,3
30.4,-9.6,Africa,671
30.4,69.3,Asia,45
30.5,-98.2,North America,1
30.5,-92.5,North America,5
30.5,-92.4,North America,1
30.5,-92.3,North America,5
30.5,-91.1,North America,13
30.5,-90.5,North America,2
30.5,-90.2,North America,1
30.5,-90.1,North America,3
30.5,-87.9,North America,2
30.5,-87.2,North America,1
30.5,-87.2,NA,4
30.5,-86.5,North America,1
30.5,-84.2,North America,1
30.5,-9.7,Africa,115
30.5,31.2,Africa,1
30.5,114.4,Asia,2
30.6,-97.7,North America,3
30.6,-97.4,North America,1
30.6,-96.3,North America,2
30.6,-95.1,North America,1
30.6,-94.9,North America,1
30.6,-91.2,North America,1
30.6,-88.2,North America,1
30.6,-81.5,North America,8
30.6,-81.4,NA,25
30.6,36.2,Asia,2
30.6,114.3,Asia,3
30.6,117.9,Asia,1
30.7,-99.6,North America,1
30.7,-96.4,North America,79
30.7,-95.1,North America,1
30.7,-92.4,North America,1
30.7,-91.2,North America,2
30.7,-88.1,North America,2
30.7,-88,North America,12
30.7,76.7,Asia,2
30.7,76.8,Asia,8
30.8,-115.3,South America,6
30.8,-88.4,North America,1
30.8,-86.6,North America,1
30.8,-83.3,North America,11
30.9,-89.1,North America,1
30.9,-84.2,North America,1
30.9,-83.2,North America,1
30.9,-6.9,Africa,8
30.9,75.9,Asia,5
31,-114.8,South America,1
31,-92,North America,28
31,34.9,Europe,160
31.1,-98,North America,1
31.1,-97.9,North America,1
31.1,-97.8,North America,1
31.1,-97.7,North America,1
31.1,-97.5,North America,3
31.1,-84.2,North America,2
31.1,-6.1,Africa,2
31.1,-4,Africa,31
31.1,51.4,Asia,1
31.1,74.6,Asia,1
31.1,76,Asia,1
31.1,77.2,Asia,7
31.1,77.4,Asia,1
31.2,-97.3,North America,3
31.2,-94.4,North America,1
31.2,-85.4,North America,3
31.2,-81.5,North America,1
31.2,-81.4,NA,17
31.2,-81.3,NA,1
31.2,29.9,Africa,6
31.2,30,Africa,1
31.2,72.7,Asia,2
31.2,121.5,Asia,9
31.3,-94.7,North America,1
31.3,-89.3,North America,2
31.3,-85.9,North America,1
31.3,-82.9,North America,1
31.4,-102.9,North America,1
31.4,73.1,Asia,3
31.4,77.2,Asia,1
31.5,-110.9,North America,2
31.5,-110.8,North America,2
31.5,-100.4,North America,8
31.5,-97.1,North America,2
31.5,-95.2,North America,1
31.5,-91.4,North America,2
31.5,-9.8,Africa,14
31.5,-9.8,NA,1
31.5,34.5,Europe,1
31.5,131.1,Asia,1
31.6,-106.3,North America,1
31.6,-90.4,North America,3
31.6,-85.8,North America,1
31.6,-8,Africa,11
31.6,74.4,Asia,25
31.6,130.5,Asia,3
31.6,130.6,Asia,1
31.7,-106.4,South America,3
31.7,-8,Africa,4
31.7,34.6,Europe,4
31.8,-106.5,South America,20
31.8,-106.4,North America,3
31.8,-102.4,North America,1
31.8,-94.2,North America,1
31.8,-81.4,North America,3
31.8,-7.1,Africa,112
31.8,35.2,Europe,6
31.9,-116.7,South America,1
31.9,-116.6,South America,56
31.9,-106.4,North America,2
31.9,-102.4,North America,1
31.9,-102.3,North America,2
31.9,35.2,Europe,1
31.9,35.9,Asia,12
31.9,54.4,Asia,1
31.9,131.4,Asia,32
32,-114.2,South America,1
32,-102.2,North America,1
32,-99.9,North America,885
32,-87.3,North America,1
32,-86.3,North America,1
32,-83.8,North America,1
32,-81,North America,1
32,-80.8,NA,12
32,34.8,Europe,1
32,118.8,Asia,1
32,120.9,Asia,1
32.1,-110.9,North America,1
32.1,-97.8,North America,1
32.1,-97,North America,1
32.1,-84.2,North America,1
32.1,-81.2,North America,1
32.1,-81.1,North America,10
32.1,34.7,Europe,1
32.1,34.8,Europe,169
32.1,118.8,Asia,1
32.2,-111.2,North America,2
32.2,-110.9,North America,39
32.2,-107.7,North America,2
32.2,-92.1,North America,1
32.2,-90.1,North America,1
32.2,-87.8,North America,1
32.2,-82.9,North America,93
32.2,-80.8,North America,6
32.2,-80.7,North America,1
32.2,34.8,Europe,41
32.2,74.2,Asia,1
32.2,76,Asia,1
32.2,77.2,Asia,1
32.3,-107.9,North America,1
32.3,-106.8,North America,2
32.3,-101.5,North America,1
32.3,-96.6,North America,1
32.3,-90.2,North America,5
32.3,-90,North America,2
32.3,-86.9,North America,40
32.3,-80.7,NA,2
32.3,-64.8,South America,8
32.3,34.8,Europe,2
32.4,-114.8,South America,1
32.4,-106.5,North America,1
32.4,-99.7,North America,1
32.4,-99.5,North America,1
32.4,-97.1,North America,2
32.4,-95.3,North America,2
32.4,-89.4,North America,19
32.4,-88.6,North America,1
32.4,-87.1,North America,1
32.4,-86.3,North America,5
32.4,-85.7,North America,2
32.4,-85,North America,1
32.4,-81.8,North America,2
32.4,-81,North America,48
32.4,-80.7,North America,16
32.4,53.7,Asia,21
32.4,131.6,Asia,1
32.5,-117,North America,2
32.5,-117,South America,22
32.5,-116.9,South America,5
32.5,-114.8,North America,1
32.5,-107.4,North America,14
32.5,-105.6,North America,3
32.5,-96.8,North America,1
32.5,-94.8,North America,1
32.5,-93.8,North America,11
32.5,-92.6,North America,3
32.5,-92.1,North America,3
32.5,-86.4,North America,1
32.5,-85,North America,3
32.5,74.5,Asia,2
32.6,-117.1,North America,53
32.6,-117,North America,2
32.6,-115.5,South America,6
32.6,-110.9,North America,7
32.6,-97.4,North America,1
32.6,-97.2,North America,1
32.6,-85.5,North America,2
32.6,-80.2,NA,2
32.6,73.5,Asia,1
32.6,131,Asia,6
32.7,-117.2,North America,2412
32.7,-117.2,NA,7
32.7,-117.1,North America,5
32.7,-117,North America,2
32.7,-114.6,North America,5
32.7,-97.7,North America,3
32.7,-97.4,North America,1
32.7,-97.3,North America,1
32.7,-97.2,North America,1
32.7,-97.1,North America,5
32.7,-96.9,North America,3
32.7,-96.3,North America,1
32.7,-96,North America,1
32.7,-94.8,North America,1
32.7,-80.1,North America,10
32.7,-79.9,NA,120
32.7,-17.2,Europe,1
32.7,-16.9,Europe,24
32.7,35,Europe,1
32.7,117,Asia,2
32.8,-117.3,North America,6
32.8,-117.3,NA,66
32.8,-117.2,North America,177
32.8,-117.1,North America,11
32.8,-117,North America,2
32.8,-115.4,North America,6
32.8,-108.4,North America,1
32.8,-108.3,North America,1
32.8,-108.2,North America,3
32.8,-107,North America,2
32.8,-98.1,North America,1
32.8,-97.8,North America,2
32.8,-97.3,North America,16
32.8,-97.1,North America,2
32.8,-97,North America,3
32.8,-96.9,North America,16
32.8,-96.8,North America,126
32.8,-96.7,North America,3
32.8,-96.5,North America,1
32.8,-89.3,North America,2
32.8,-89.2,North America,1
32.8,-80,North America,4
32.8,-79.9,North America,108
32.8,-79.8,NA,1
32.8,-79.7,NA,1
32.8,-17,Europe,12
32.8,35,NA,6
32.8,129.9,Asia,2
32.8,130.2,Asia,8
32.8,130.7,Asia,23
32.9,-117.2,North America,13
32.9,-117.1,North America,17
32.9,-117,North America,5
32.9,-116.9,North America,3
32.9,-112.7,North America,35
32.9,-97.2,North America,1
32.9,-97.1,North America,173
32.9,-97,North America,13
32.9,-96.8,North America,4
32.9,-96.7,North America,35
32.9,-96.6,North America,7
32.9,-82.8,North America,1
32.9,-80,North America,2
32.9,10.5,Africa,1
32.9,35.1,Europe,1
32.9,35.2,Europe,1
32.9,132.7,Asia,1
33,-117.3,North America,297
33,-117.2,North America,16
33,-117.1,North America,24
33,-117,North America,1
33,-115.5,North America,1
33,-111.7,North America,1
33,-104.8,North America,4
33,-97,North America,1
33,-96.9,North America,2
33,-96.8,North America,3
33,-96.7,North America,12
33,-96.6,North America,1
33,-96.5,North America,1
33,-85.6,North America,1
33,-81.2,North America,1
33,-80.2,North America,6
33,-80,North America,25
33,129.1,Asia,12
33,130.4,Asia,1
33,132.9,Asia,2
33,133,Asia,19
33.1,-117.3,North America,29
33.1,-117.2,North America,6
33.1,-117.1,North America,5
33.1,-96.9,North America,2
33.1,-96.7,North America,4
33.1,-87.5,North America,2
33.1,-83.3,North America,1
33.1,-16.3,NA,8
33.1,119.8,Asia,1
33.1,130.4,Asia,1
33.2,-117.4,North America,354
33.2,-117.3,North America,2
33.2,-117.2,North America,17
33.2,-117,North America,4
33.2,-105.2,North America,2
33.2,-97.1,North America,20
33.2,-96.9,North America,1
33.2,-96.8,North America,12
