outcome;outcome2;exposure;exposure2;model;sex;N0;personyears0;cases0;N1;personyears1;cases1;HR;CI_left;CI_right
D00;Organic disorders;expo_D10;Exposed to Substance use;adjusted_time_after_expo_1;persons;3747771;47321470.9869237;78711;40248;18548.4859714352;1575;69.8346426721378;66.3495240554888;73.5028229150006
D00;Organic disorders;expo_D10;Exposed to Substance use;time_after_expo_1;persons;3747771;47321470.9869237;78711;40248;18548.4859714352;1575;137.945420044528;131.19030479781;145.048362686469
D00;Organic disorders;expo_D10;Exposed to Substance use;time_after_expo_2;persons;3747771;47321470.9869237;78711;39000;18614.2317164459;175;15.4721974439242;13.3378258104839;17.9481196669706
D00;Organic disorders;expo_D10;Exposed to Substance use;adjusted_time_after_expo_2;persons;3747771;47321470.9869237;78711;39000;18614.2317164459;175;7.85045741874097;6.76524740710669;9.10974543498955
D00;Organic disorders;expo_D10;Exposed to Substance use;time_after_expo_3;persons;3747771;47321470.9869237;78711;40962;37478.9776330564;269;11.9927595877384;10.6381742058029;13.51982772108
D00;Organic disorders;expo_D10;Exposed to Substance use;adjusted_time_after_expo_3;persons;3747771;47321470.9869237;78711;40962;37478.9776330564;269;6.18072698707425;5.48048531362993;6.9704385474296
D00;Organic disorders;expo_D10;Exposed to Substance use;time_after_expo_4;persons;3747771;47321470.9869237;78711;49230;114654.752653642;622;9.38484824541588;8.67067827043866;10.1578416177388
D00;Organic disorders;expo_D10;Exposed to Substance use;adjusted_time_after_expo_4;persons;3747771;47321470.9869237;78711;49230;114654.752653642;622;4.92553993457127;4.54818182704154;5.33420706771465
D00;Organic disorders;expo_D10;Exposed to Substance use;time_after_expo_5;persons;3747771;47321470.9869237;78711;51402;183487.442331013;815;7.83501115855239;7.31021833103988;8.39747830704095
D00;Organic disorders;expo_D10;Exposed to Substance use;adjusted_time_after_expo_5;persons;3747771;47321470.9869237;78711;51402;183487.442331013;815;4.20482678521593;3.92097240967189;4.50923047814785
D00;Organic disorders;expo_D10;Exposed to Substance use;time_after_expo_6;persons;3747771;47321470.9869237;78711;47143;161851.669848043;667;7.1164748679215;6.59222277332954;7.68241855397424
D00;Organic disorders;expo_D10;Exposed to Substance use;adjusted_time_after_expo_6;persons;3747771;47321470.9869237;78711;47143;161851.669848043;667;4.04763516216608;3.74778469090346;4.37147588701361
D00;Organic disorders;expo_D10;Exposed to Substance use;time_after_expo_7;persons;3747771;47321470.9869237;78711;56838;490906.188659332;1979;3.71214879878457;3.5494924241109;3.8822589423527
D00;Organic disorders;expo_D10;Exposed to Substance use;adjusted_time_after_expo_7;persons;3747771;47321470.9869237;78711;56838;490906.188659332;1979;2.72242193118585;2.60192091447097;2.84850363059886
D00;Organic disorders;expo_D10;Exposed to Substance use;kessler_prev_interactions;persons;3747771;47321470.9869237;78711;108816;1025541.74881297;6102;4.63042242297453;4.50489667792056;4.75944585372429
D00;Organic disorders;expo_D10;Exposed to Substance use;basic_confounders;persons;3747771;47321470.9869237;78711;108816;1025541.74881297;6102;7.22748919555788;7.03877539152642;7.42126253023935
D00;Organic disorders;expo_D10;Exposed to Substance use;kessler_prev;persons;3747771;47321470.9869237;78711;108816;1025541.74881297;6102;4.646063491052;4.52027249428444;4.77535502343723
D00;Organic disorders;expo_D10;Exposed to Substance use;sex_adjusted_time_after_expo_1;women;1924675;24475026.3756665;47230;15377;7082.9050808098;682;55.5743686799077;51.4823602210405;59.9916251102266
D00;Organic disorders;expo_D10;Exposed to Substance use;sex_time_after_expo_1;women;1924675;24475026.3756665;47230;15377;7082.9050808098;682;114.662049281429;106.301081154484;123.68063807658
D00;Organic disorders;expo_D10;Exposed to Substance use;sex_adjusted_time_after_expo_2;women;1924675;24475026.3756665;47230;14823;7095.47450407965;62;5.08709886252938;3.96441202959847;6.52772079287852
D00;Organic disorders;expo_D10;Exposed to Substance use;sex_time_after_expo_2;women;1924675;24475026.3756665;47230;14823;7095.47450407965;62;10.4704028422304;8.16155414415706;13.4324092865416
D00;Organic disorders;expo_D10;Exposed to Substance use;sex_adjusted_time_after_expo_3;women;1924675;24475026.3756665;47230;15477;14269.4939366719;108;4.54365566228011;3.76056801404695;5.48981076801564
D00;Organic disorders;expo_D10;Exposed to Substance use;sex_time_after_expo_3;women;1924675;24475026.3756665;47230;15477;14269.4939366719;108;9.21555944929434;7.62955337719322;11.1312591661455
D00;Organic disorders;expo_D10;Exposed to Substance use;sex_time_after_expo_4;women;1924675;24475026.3756665;47230;18403;43502.2802230706;263;7.67586200099598;6.79916207967231;8.66560566845227
D00;Organic disorders;expo_D10;Exposed to Substance use;sex_adjusted_time_after_expo_4;women;1924675;24475026.3756665;47230;18403;43502.2802230706;263;3.8223361756671;3.38427786404564;4.31709641664825
D00;Organic disorders;expo_D10;Exposed to Substance use;sex_adjusted_time_after_expo_5;women;1924675;24475026.3756665;47230;19003;69141.3342615467;323;3.05627727947255;2.73793661909598;3.41163149792135
D00;Organic disorders;expo_D10;Exposed to Substance use;sex_time_after_expo_5;women;1924675;24475026.3756665;47230;19003;69141.3342615467;323;6.13507620844409;5.49848061720534;6.84537469599142
D00;Organic disorders;expo_D10;Exposed to Substance use;sex_time_after_expo_6;women;1924675;24475026.3756665;47230;17334;60163.1992738979;260;5.66921069036035;5.01795590189006;6.40498850131191
D00;Organic disorders;expo_D10;Exposed to Substance use;sex_adjusted_time_after_expo_6;women;1924675;24475026.3756665;47230;17334;60163.1992738979;260;2.93614031258403;2.5978727950989;3.31845344831553
D00;Organic disorders;expo_D10;Exposed to Substance use;sex_time_after_expo_7;women;1924675;24475026.3756665;47230;21335;190871.948439255;891;3.26407168768676;3.05443470489173;3.48809682043471
D00;Organic disorders;expo_D10;Exposed to Substance use;sex_adjusted_time_after_expo_7;women;1924675;24475026.3756665;47230;21335;190871.948439255;891;2.24477012108912;2.09967476697833;2.39989210509309
D00;Organic disorders;expo_D10;Exposed to Substance use;sex_basic_confounders;women;1924675;24475026.3756665;47230;40122;392126.635719331;2589;6.02793802787167;5.79300382563409;6.27239994337206
D00;Organic disorders;expo_D10;Exposed to Substance use;sex_kessler_prev_interactions;women;1924675;24475026.3756665;47230;40122;392126.635719331;2589;3.58935851534349;3.44630836886013;3.7383464196299
D00;Organic disorders;expo_D10;Exposed to Substance use;sex_kessler_prev;women;1924675;24475026.3756665;47230;40122;392126.635719331;2589;3.61812342303647;3.47410561595786;3.76811143685273
D00;Organic disorders;expo_D20;Exposed to Schizophrenia and related;sex_time_after_expo_1;men;1844703;23178099.9413649;32924;7941;3509.96470616446;604;181.419440286275;167.375185749212;196.642131666402
D00;Organic disorders;expo_D20;Exposed to Schizophrenia and related;sex_adjusted_time_after_expo_1;men;1844703;23178099.9413649;32924;7941;3509.96470616446;604;90.9786169196466;83.8617978625424;98.6993952857867
D00;Organic disorders;expo_D20;Exposed to Schizophrenia and related;sex_adjusted_time_after_expo_2;men;1844703;23178099.9413649;32924;7394;3488.96101504604;63;10.0805739448956;7.87042067770131;12.9113773227415
D00;Organic disorders;expo_D20;Exposed to Schizophrenia and related;sex_time_after_expo_2;men;1844703;23178099.9413649;32924;7394;3488.96101504604;63;20.5303914896694;16.0338752378268;26.2879041072182
D00;Organic disorders;expo_D20;Exposed to Schizophrenia and related;sex_time_after_expo_3;men;1844703;23178099.9413649;32924;7834;7047.8849764204;83;14.5934223029323;11.7649445490396;18.101910606039
D00;Organic disorders;expo_D20;Exposed to Schizophrenia and related;sex_adjusted_time_after_expo_3;men;1844703;23178099.9413649;32924;7834;7047.8849764204;83;6.92170620046979;5.5783313393587;8.58859286245443
D00;Organic disorders;expo_D20;Exposed to Schizophrenia and related;sex_time_after_expo_4;men;1844703;23178099.9413649;32924;9923;22205.8270678943;190;12.3414004414514;10.7002646759199;14.234242747193
D00;Organic disorders;expo_D20;Exposed to Schizophrenia and related;sex_adjusted_time_after_expo_4;men;1844703;23178099.9413649;32924;9923;22205.8270678943;190;5.63823909747265;4.88590230674493;6.50642156237629
D00;Organic disorders;expo_D20;Exposed to Schizophrenia and related;sex_adjusted_time_after_expo_5;men;1844703;23178099.9413649;32924;12317;41198.6032412607;209;4.1203775602498;3.59372121208263;4.72421488398408
D00;Organic disorders;expo_D20;Exposed to Schizophrenia and related;sex_time_after_expo_5;men;1844703;23178099.9413649;32924;12317;41198.6032412607;209;9.28298635012164;8.10106786781549;10.6373427531576
D00;Organic disorders;expo_D20;Exposed to Schizophrenia and related;sex_time_after_expo_6;men;1844703;23178099.9413649;32924;13649;46347.44267535;214;9.3386686569666;8.16211987345506;10.6848139498953
D00;Organic disorders;expo_D20;Exposed to Schizophrenia and related;sex_adjusted_time_after_expo_6;men;1844703;23178099.9413649;32924;13649;46347.44267535;214;4.4561292141765;3.89300723431132;5.10070656905677
D00;Organic disorders;expo_D20;Exposed to Schizophrenia and related;sex_adjusted_time_after_expo_7;men;1844703;23178099.9413649;32924;19042;177961.099303841;707;3.04468789995772;2.82482339979092;3.28166511536086
D00;Organic disorders;expo_D20;Exposed to Schizophrenia and related;sex_time_after_expo_7;men;1844703;23178099.9413649;32924;19042;177961.099303841;707;4.56237581541956;4.23443504038994;4.91571434738752
D00;Organic disorders;expo_D20;Exposed to Schizophrenia and related;sex_basic_confounders;men;1844703;23178099.9413649;32924;30902;301759.782985976;2070;9.11095194204603;8.71368878264507;9.52632660643114
D00;Organic disorders;expo_D20;Exposed to Schizophrenia and related;sex_kessler_prev_interactions;men;1844703;23178099.9413649;32924;30902;301759.782985976;2070;5.27116763167656;5.03650767766764;5.51676081512532
D00;Organic disorders;expo_D20;Exposed to Schizophrenia and related;sex_kessler_prev;men;1844703;23178099.9413649;32924;30902;301759.782985976;2070;5.30333782164389;5.06754269074536;5.55010461023698
D00;Organic disorders;expo_D20;Exposed to Schizophrenia and related;adjusted_time_after_expo_1;persons;3770034;47712381.6258324;79549;16700;7280.72206835006;1485;71.7510292869821;68.1117802029186;75.5847254087885
D00;Organic disorders;expo_D20;Exposed to Schizophrenia and related;time_after_expo_1;persons;3770034;47712381.6258324;79549;16700;7280.72206835006;1485;121.878092091091;115.765550776273;128.313381935804
D00;Organic disorders;expo_D20;Exposed to Schizophrenia and related;adjusted_time_after_expo_2;persons;3770034;47712381.6258324;79549;15326;7213.00879556854;169;8.66741420450812;7.45124134648218;10.0820877353511
D00;Organic disorders;expo_D20;Exposed to Schizophrenia and related;time_after_expo_2;persons;3770034;47712381.6258324;79549;15326;7213.00879556854;169;15.0311693228977;12.9249660444873;17.480591472036
D00;Organic disorders;expo_D20;Exposed to Schizophrenia and related;adjusted_time_after_expo_3;persons;3770034;47712381.6258324;79549;16072;14474.3097537241;212;5.75281442340288;5.02586197826269;6.58491497244662
D00;Organic disorders;expo_D20;Exposed to Schizophrenia and related;time_after_expo_3;persons;3770034;47712381.6258324;79549;16072;14474.3097537241;212;10.189600078527;8.90433317608073;11.6603846360136
D00;Organic disorders;expo_D20;Exposed to Schizophrenia and related;adjusted_time_after_expo_4;persons;3770034;47712381.6258324;79549;20095;45160.4967287971;458;4.48941588112208;4.09339148409173;4.92375455218479
D00;Organic disorders;expo_D20;Exposed to Schizophrenia and related;time_after_expo_4;persons;3770034;47712381.6258324;79549;20095;45160.4967287971;458;8.20894324837362;7.48811515786361;8.99916038073385
D00;Organic disorders;expo_D20;Exposed to Schizophrenia and related;adjusted_time_after_expo_5;persons;3770034;47712381.6258324;79549;24834;83373.829598024;482;3.22918989733856;2.95081043332835;3.53383168071274
D00;Organic disorders;expo_D20;Exposed to Schizophrenia and related;time_after_expo_5;persons;3770034;47712381.6258324;79549;24834;83373.829598024;482;6.23239195172651;5.69800778334056;6.81689301188935
D00;Organic disorders;expo_D20;Exposed to Schizophrenia and related;adjusted_time_after_expo_6;persons;3770034;47712381.6258324;79549;27729;95337.7850662476;476;3.43762834835869;3.13952388191548;3.76403846758742
D00;Organic disorders;expo_D20;Exposed to Schizophrenia and related;time_after_expo_6;persons;3770034;47712381.6258324;79549;27729;95337.7850662476;476;6.700916445812;6.12277195384987;7.33365239669267
D00;Organic disorders;expo_D20;Exposed to Schizophrenia and related;adjusted_time_after_expo_7;persons;3770034;47712381.6258324;79549;40191;381790.957893556;1982;2.65468220305896;2.53743214130573;2.77735017402732
D00;Organic disorders;expo_D20;Exposed to Schizophrenia and related;time_after_expo_7;persons;3770034;47712381.6258324;79549;40191;381790.957893556;1982;3.95408135538168;3.78139537434244;4.13465343271484
D00;Organic disorders;expo_D20;Exposed to Schizophrenia and related;kessler_prev_interactions;persons;3770034;47712381.6258324;79549;63912;634631.109904267;5264;4.31948810058522;4.19589603493398;4.44672062790775
D00;Organic disorders;expo_D20;Exposed to Schizophrenia and related;basic_confounders;persons;3770034;47712381.6258324;79549;63912;634631.109904267;5264;7.03654160374951;6.84224672951797;7.23635374440609
D00;Organic disorders;expo_D20;Exposed to Schizophrenia and related;kessler_prev;persons;3770034;47712381.6258324;79549;63912;634631.109904267;5264;4.34116219877607;4.21716578591761;4.46880445132458
D00;Organic disorders;expo_D20;Exposed to Schizophrenia and related;sex_adjusted_time_after_expo_1;women;1925331;24534281.6844676;46625;8759;3770.7573621856;881;62.7623957289279;58.6917496711903;67.115366975814
D00;Organic disorders;expo_D20;Exposed to Schizophrenia and related;sex_time_after_expo_1;women;1925331;24534281.6844676;46625;8759;3770.7573621856;881;98.9951540552813;92.6043181353554;105.827036187499
D00;Organic disorders;expo_D20;Exposed to Schizophrenia and related;sex_adjusted_time_after_expo_2;women;1925331;24534281.6844676;46625;7932;3724.0477805225;106;8.01525659582425;6.62340321129115;9.69959645328318
D00;Organic disorders;expo_D20;Exposed to Schizophrenia and related;sex_time_after_expo_2;women;1925331;24534281.6844676;46625;7932;3724.0477805225;106;12.9058345524173;10.6661019457731;15.6158797601195
D00;Organic disorders;expo_D20;Exposed to Schizophrenia and related;sex_adjusted_time_after_expo_3;women;1925331;24534281.6844676;46625;8238;7426.4247773037;129;5.19960260213149;4.37367706514291;6.18149598550875
D00;Organic disorders;expo_D20;Exposed to Schizophrenia and related;sex_time_after_expo_3;women;1925331;24534281.6844676;46625;8238;7426.4247773037;129;8.49466398586809;7.14643599180742;10.0972451604586
D00;Organic disorders;expo_D20;Exposed to Schizophrenia and related;sex_time_after_expo_4;women;1925331;24534281.6844676;46625;10172;22954.6696609028;268;6.60737203050738;5.85964654516972;7.45051170117407
D00;Organic disorders;expo_D20;Exposed to Schizophrenia and related;sex_adjusted_time_after_expo_4;women;1925331;24534281.6844676;46625;10172;22954.6696609028;268;3.93296266243967;3.48695467650603;4.43601845712656
D00;Organic disorders;expo_D20;Exposed to Schizophrenia and related;sex_time_after_expo_5;women;1925331;24534281.6844676;46625;12517;42175.2263567633;273;4.96639587010882;4.40908229399763;5.59415458682005
D00;Organic disorders;expo_D20;Exposed to Schizophrenia and related;sex_adjusted_time_after_expo_5;women;1925331;24534281.6844676;46625;12517;42175.2263567633;273;2.78063633780419;2.46781775726756;3.1331075482973
D00;Organic disorders;expo_D20;Exposed to Schizophrenia and related;sex_time_after_expo_6;women;1925331;24534281.6844676;46625;14080;48990.3423908976;262;5.44256577776366;4.8200598257909;6.14546775680811
D00;Organic disorders;expo_D20;Exposed to Schizophrenia and related;sex_adjusted_time_after_expo_6;women;1925331;24534281.6844676;46625;14080;48990.3423908976;262;2.90888021126293;2.575296442035;3.28567381423116
D00;Organic disorders;expo_D20;Exposed to Schizophrenia and related;sex_time_after_expo_7;women;1925331;24534281.6844676;46625;21149;203829.858589715;1275;3.66911540884099;3.47042987581932;3.87917588457716
D00;Organic disorders;expo_D20;Exposed to Schizophrenia and related;sex_adjusted_time_after_expo_7;women;1925331;24534281.6844676;46625;21149;203829.858589715;1275;2.47668843650989;2.34161180955948;2.61955700193353
D00;Organic disorders;expo_D20;Exposed to Schizophrenia and related;sex_basic_confounders;women;1925331;24534281.6844676;46625;33010;332871.326918291;3194;6.11416432532096;5.8987383291355;6.33745782761416
D00;Organic disorders;expo_D20;Exposed to Schizophrenia and related;sex_kessler_prev;women;1925331;24534281.6844676;46625;33010;332871.326918291;3194;3.88364948315085;3.74419582287537;4.02829713548341
D00;Organic disorders;expo_D20;Exposed to Schizophrenia and related;sex_kessler_prev_interactions;women;1925331;24534281.6844676;46625;33010;332871.326918291;3194;3.86647755477377;3.72747831163713;4.01066013849009
D00;Organic disorders;expo_D30;Exposed to Mood disorders;sex_adjusted_time_after_expo_1;men;1837639;22957369.9933851;30120;36018;16436.3045940005;1659;60.243097410092;57.3063246781141;63.3303707042285
D00;Organic disorders;expo_D30;Exposed to Mood disorders;sex_time_after_expo_1;men;1837639;22957369.9933851;30120;36018;16436.3045940005;1659;82.7945965331283;78.7999683391107;86.9917254989707
D00;Organic disorders;expo_D30;Exposed to Mood disorders;sex_adjusted_time_after_expo_2;men;1837639;22957369.9933851;30120;33809;16115.9303241261;230;8.91907373649558;7.83217166929045;10.1568095894726
D00;Organic disorders;expo_D30;Exposed to Mood disorders;sex_time_after_expo_2;men;1837639;22957369.9933851;30120;33809;16115.9303241261;230;12.3649047778308;10.8604144982616;14.0778116884301
D00;Organic disorders;expo_D30;Exposed to Mood disorders;sex_time_after_expo_3;men;1837639;22957369.9933851;30120;34539;31700.6345983981;324;9.21556221396258;8.25989498514619;10.2817998379082
D00;Organic disorders;expo_D30;Exposed to Mood disorders;sex_adjusted_time_after_expo_3;men;1837639;22957369.9933851;30120;34539;31700.6345983981;324;6.58543307547972;5.90094798993922;7.34931554481791
D00;Organic disorders;expo_D30;Exposed to Mood disorders;sex_adjusted_time_after_expo_4;men;1837639;22957369.9933851;30120;37788;89732.0408039526;610;4.51194759705305;4.16270926862273;4.89048593232367
D00;Organic disorders;expo_D30;Exposed to Mood disorders;sex_time_after_expo_4;men;1837639;22957369.9933851;30120;37788;89732.0408039526;610;6.44267289618526;5.94630569085892;6.98047429869764
D00;Organic disorders;expo_D30;Exposed to Mood disorders;sex_adjusted_time_after_expo_5;men;1837639;22957369.9933851;30120;34159;121434.704049705;634;3.57459649055188;3.30264956764828;3.86893607951401
D00;Organic disorders;expo_D30;Exposed to Mood disorders;sex_time_after_expo_5;men;1837639;22957369.9933851;30120;34159;121434.704049705;634;5.24625558376698;4.84931344764872;5.67568954808466
D00;Organic disorders;expo_D30;Exposed to Mood disorders;sex_adjusted_time_after_expo_6;men;1837639;22957369.9933851;30120;23921;81726.3803428403;385;3.1429470163327;2.84115979516195;3.47678999410575
D00;Organic disorders;expo_D30;Exposed to Mood disorders;sex_time_after_expo_6;men;1837639;22957369.9933851;30120;23921;81726.3803428403;385;4.69479852938309;4.24569537900424;5.19140712272839
D00;Organic disorders;expo_D30;Exposed to Mood disorders;sex_adjusted_time_after_expo_7;men;1837639;22957369.9933851;30120;21860;165343.736252714;1032;2.61222448123181;2.45392611024446;2.78073439614163
D00;Organic disorders;expo_D30;Exposed to Mood disorders;sex_time_after_expo_7;men;1837639;22957369.9933851;30120;21860;165343.736252714;1032;3.50628159044196;3.29526280063637;3.73081339342587
D00;Organic disorders;expo_D30;Exposed to Mood disorders;sex_basic_confounders;men;1837639;22957369.9933851;30120;65156;522489.730965736;4874;7.32617315676971;7.10774578480978;7.55131299682653
D00;Organic disorders;expo_D30;Exposed to Mood disorders;sex_kessler_prev;men;1837639;22957369.9933851;30120;65156;522489.730965736;4874;5.25893955020812;5.09749346038227;5.42549890601904
D00;Organic disorders;expo_D30;Exposed to Mood disorders;sex_kessler_prev_interactions;men;1837639;22957369.9933851;30120;65156;522489.730965736;4874;5.25631336584694;5.09489587185758;5.42284492065739
D00;Organic disorders;expo_D30;Exposed to Mood disorders;adjusted_time_after_expo_1;persons;3729756;46910630.4458981;71122;86978;39652.5636839895;4249;52.9578545475994;51.3080875167804;54.660668405687
D00;Organic disorders;expo_D30;Exposed to Mood disorders;time_after_expo_1;persons;3729756;46910630.4458981;71122;86978;39652.5636839895;4249;69.2376091627519;67.1232561060326;71.4185634111863
D00;Organic disorders;expo_D30;Exposed to Mood disorders;adjusted_time_after_expo_2;persons;3729756;46910630.4458981;71122;82077;39128.7561494124;519;6.75478944039258;6.19438007764083;7.36589938172094
D00;Organic disorders;expo_D30;Exposed to Mood disorders;time_after_expo_2;persons;3729756;46910630.4458981;71122;82077;39128.7561494124;519;8.87508311155602;8.14071270352762;9.67570077775803
D00;Organic disorders;expo_D30;Exposed to Mood disorders;time_after_expo_3;persons;3729756;46910630.4458981;71122;84612;77571.1686503482;814;7.20950504113963;6.7280148625183;7.72545304972213
D00;Organic disorders;expo_D30;Exposed to Mood disorders;adjusted_time_after_expo_3;persons;3729756;46910630.4458981;71122;84612;77571.1686503482;814;5.47090089328575;5.10397571550279;5.86420434823842
D00;Organic disorders;expo_D30;Exposed to Mood disorders;time_after_expo_4;persons;3729756;46910630.4458981;71122;95100;224789.413721087;1687;5.35980824898665;5.10691502061197;5.62522469043607
D00;Organic disorders;expo_D30;Exposed to Mood disorders;adjusted_time_after_expo_4;persons;3729756;46910630.4458981;71122;95100;224789.413721087;1687;4.02539804842714;3.83369723636093;4.22668469867542
D00;Organic disorders;expo_D30;Exposed to Mood disorders;time_after_expo_5;persons;3729756;46910630.4458981;71122;89018;318918.477633057;1693;4.05264842703935;3.86172582910024;4.25301018249947
D00;Organic disorders;expo_D30;Exposed to Mood disorders;adjusted_time_after_expo_5;persons;3729756;46910630.4458981;71122;89018;318918.477633057;1693;2.95887846625184;2.81799710128234;3.10680297508641
D00;Organic disorders;expo_D30;Exposed to Mood disorders;adjusted_time_after_expo_6;persons;3729756;46910630.4458981;71122;65338;223424.823152931;1082;2.65439333625915;2.49831604956992;2.82022123853782
D00;Organic disorders;expo_D30;Exposed to Mood disorders;time_after_expo_6;persons;3729756;46910630.4458981;71122;65338;223424.823152931;1082;3.75192371832324;3.53312244512622;3.98427504473698
D00;Organic disorders;expo_D30;Exposed to Mood disorders;adjusted_time_after_expo_7;persons;3729756;46910630.4458981;71122;64706;512897.086847819;3647;2.41433582843929;2.33344749820523;2.49802813089603
D00;Organic disorders;expo_D30;Exposed to Mood disorders;time_after_expo_7;persons;3729756;46910630.4458981;71122;64706;512897.086847819;3647;3.160582354442;3.05679745424462;3.2678909769894
D00;Organic disorders;expo_D30;Exposed to Mood disorders;basic_confounders;persons;3729756;46910630.4458981;71122;172073;1436382.28983865;13691;5.6988807733067;5.59488190349382;5.80481279651029
D00;Organic disorders;expo_D30;Exposed to Mood disorders;kessler_prev;persons;3729756;46910630.4458981;71122;172073;1436382.28983865;13691;4.29312755017707;4.20991400731679;4.37798589948787
D00;Organic disorders;expo_D30;Exposed to Mood disorders;kessler_prev_interactions;persons;3729756;46910630.4458981;71122;172073;1436382.28983865;13691;4.28308395347666;4.19993749160942;4.36787647177566
D00;Organic disorders;expo_D30;Exposed to Mood disorders;sex_time_after_expo_1;women;1892117;23953260.4525129;41002;50960;23216.259089989;2590;62.2717517492101;59.8457591189403;64.7960878599331
D00;Organic disorders;expo_D30;Exposed to Mood disorders;sex_adjusted_time_after_expo_1;women;1892117;23953260.4525129;41002;50960;23216.259089989;2590;49.029423623224;47.0976077597236;51.040477322954
D00;Organic disorders;expo_D30;Exposed to Mood disorders;sex_time_after_expo_2;women;1892117;23953260.4525129;41002;48268;23012.8258252863;289;7.19881766972889;6.41224626039715;8.08187548286568
D00;Organic disorders;expo_D30;Exposed to Mood disorders;sex_adjusted_time_after_expo_2;women;1892117;23953260.4525129;41002;48268;23012.8258252863;289;5.64602919084795;5.02829715588768;6.33965031016144
D00;Organic disorders;expo_D30;Exposed to Mood disorders;sex_time_after_expo_3;women;1892117;23953260.4525129;41002;50073;45870.5340519501;490;6.25824816436663;5.72486594426604;6.84132527610121
D00;Organic disorders;expo_D30;Exposed to Mood disorders;sex_adjusted_time_after_expo_3;women;1892117;23953260.4525129;41002;50073;45870.5340519501;490;4.90613910749925;4.48704061755355;5.36438222733479
D00;Organic disorders;expo_D30;Exposed to Mood disorders;sex_adjusted_time_after_expo_4;women;1892117;23953260.4525129;41002;57312;135057.372917135;1077;3.78198422819933;3.55868946568623;4.01928992126609
D00;Organic disorders;expo_D30;Exposed to Mood disorders;sex_time_after_expo_4;women;1892117;23953260.4525129;41002;57312;135057.372917135;1077;4.85725760577417;4.57202050882386;5.16028994255764
D00;Organic disorders;expo_D30;Exposed to Mood disorders;sex_adjusted_time_after_expo_5;women;1892117;23953260.4525129;41002;54859;197483.773583353;1059;2.67292350743443;2.51374062013976;2.84218666769141
